Interaction Type:	Call
Interaction ID:	[CONVERSATION_ID_5]
Transcript Start Time:	[DATE_10] [TIME_9] (UTC+01:00)
Transcript End Time:	[DATE_10] [TIME_10] (UTC+01:00)
Transcript Duration:	16:31
Direction:	Inbound
Internal Participant(s):	[AGENT_5]
External Participant(s):	Unavailable



Date/Time	Participant Type	Participant	Text
00:02	Internal	[AGENT_5]	Welcome. Tax Claims. You're speaking to [AGENT_5_FIRST]. How can I help you today?
00:06	External	Unavailable	Oh hi … hi I you have existing claim and everything is gone Can I talk with [HANDLER_4]? Let letter like no
00:16	Internal	[AGENT_5]	[HANDLER_4], I am in the same team as him, so I will be able to assist you. Can I get a claims reference from you, please?
00:24	External	Unavailable	Yes, okay. [CLAIM_NUMBER_5_PART1].
00:26	Internal	[AGENT_5]	[CLAIM_NUMBER_5_PART2].
00:28	External	Unavailable	[CLAIM_NUMBER_5_PART3].
00:32	Internal	[AGENT_5]	One moment for me, please.
00:37	Internal	[AGENT_5]	Right? For data protection and to confirm your identity, can you confirm your full name for me, please?
00:46	Internal	[AGENT_5]	Thank you. And can you confirm your date of birth, please?
00:50	External	Unavailable	[DOB_3].
00:54	Internal	[AGENT_5]	Thank you. And lastly, just the month and the year of the incident, please. Alright, thank you very much. How is it that I can assist you today?
00:59	External	Unavailable	The [DATE_11],
01:05	External	Unavailable	So like, I was in garbage and the garage, like, we have the car already. Two weeks ago. Pick up like, and he said it's gone. He sent it, and he's waiting for the payment. Also, I'm waiting for my payment. Is there? Because I pay for the part separately, Like, And [HANDLER_4_FIRST], that's why I want to talk to the
01:22	Internal	[AGENT_5]	You.
01:25	External	Unavailable	Cause he knows, like all those information.
01:28	Internal	[AGENT_5]	He knows that information. Alright, would you mind holding just a moment for me? Okay, thank you.
01:33	External	Unavailable	Yes, please.
01:39	Internal	[AGENT_5]	Hi, thank you so much for your patience while I kept you on hold there so I can confirm.
01:42	External	Unavailable	Okay.
01:46	Internal	[AGENT_5]	We we have attempted to pay the the garage there that number we just need to confirm what is the correct that number with them we have left a message for them. I'll call them after this phone call too because we just need to make sure we're paying into the correct account. But I am in a position right now
02:06	Internal	[AGENT_5]	to transfer the the parts amount that you paid directly for the parts I can reimburse you the [AMOUNT_11] directly into your account That does take
02:12	External	Unavailable	Huh,
02:21	External	Unavailable	you have account I think yeah sorry I I think I send it you have the bank details.
02:26	Internal	[AGENT_5]	… let me, let me just check it. I need to make sure it's correct with you first, so I don't want to pay the wrong money. So just a moment for me.
02:27	External	Unavailable	Oh …
02:28	External	Unavailable	please. Yeah,
02:32	External	Unavailable	yes, yes, that.
02:59	Internal	[AGENT_5]	So, the bank account details that I have for you, if you can just confirm that it's correct. Is [IBAN_2_PART1].
03:05	External	Unavailable	Yeah.
03:09	Internal	[AGENT_5]	[IBAN_2_PART2].
03:12	External	Unavailable	And I give you another one other that is my business account, like?
03:16	Internal	[AGENT_5]	Okay, you can give me another one. Yes.
03:18	External	Unavailable	Yeah, please. Ivan I.
03:19	Internal	[AGENT_5]	Yeah,
03:20	Internal	[AGENT_5]	yeah.
03:22	External	Unavailable	[IBAN_3_PART1].
03:24	Internal	[AGENT_5]	[IBAN_3_PART1].
03:26	External	Unavailable	[IBAN_3_PART2].
03:29	Internal	[AGENT_5]	[IBAN_3_PART2].
03:31	External	Unavailable	[IBAN_3_PART3].
03:33	Internal	[AGENT_5]	Yes.
03:34	External	Unavailable	[IBAN_3_PART4].
03:37	Internal	[AGENT_5]	[IBAN_3_PART4].
03:39	External	Unavailable	[IBAN_3_PART5].
03:41	Internal	[AGENT_5]	[IBAN_3_PART5].
03:43	External	Unavailable	[IBAN_3_PART6].
03:45	Internal	[AGENT_5]	[IBAN_3_PART6].
