Interaction Type:	Call
Interaction ID:	[CONVERSATION_ID_5]
Transcript Start Time:	[DATE_6] [TIME_9] ([TIMEZONE_5])
Transcript End Time:	[DATE_6] [TIME_10] ([TIMEZONE_5])
Transcript Duration:	08:11
Direction:	Inbound
Internal Participant(s):	[AGENT_7]
External Participant(s):	Unavailable

Date/Time	Participant Type	Participant	Text
00:03	Internal	[AGENT_7]	Claims [AGENT_7_FIRST] speaking.
00:06	External	Unavailable	Hi, hmm, I'm just ringing regards to a claim. We have o since the [DATE_7]. Hmm,
00:12	External	Unavailable	I … numerous calls.
00:13	Internal	[AGENT_7]	Okay.
00:15	External	Unavailable	People are getting back knocking back to me and I've sent numerous emails it nearly three months now its the job
00:19	Internal	[AGENT_7]	Okay,
00:21	Internal	[AGENT_7]	yeah, no, no look, that's what's the c number there and let me have a look at phone number.
00:22	External	Unavailable	…
00:26	External	Unavailable	… [CLAIM_NUMBER_5_PART1].
00:28	Internal	[AGENT_7]	Yeah.
00:30	External	Unavailable	[CLAIM_NUMBER_5_PART2].
00:32	Internal	[AGENT_7]	Uh hmm.
00:33	External	Unavailable	[CLAIM_NUMBER_5_PART3].
00:40	Internal	[AGENT_7]	Not he can do this.
00:41	External	Unavailable	Yeah, that's …
00:43	Internal	[AGENT_7]	And [CALLER_5], just for data protection and to confirm your identity, can you give me the date of … you … that already filled your address and date of birth, please?
00:52	External	Unavailable	Uh, [ADDRESS_3]. And it's the [DOB_1].
01:16	Internal	[AGENT_7]	I thought we actually, we got in the report from the builder. Finally there, … late last week, but let me just pop you on hold for a second, [CALLER_5]. I'm gonna read over, and we should be able to get things, uh, get things moving for you, okay?
01:29	External	Unavailable	Appreciate that.
01:36	Internal	[AGENT_7]	Thanks for holding on for there so yeah the the report … … … happy enough with the
01:43	Internal	[AGENT_7]	cover in place on it and the quotation that we've got in from the builder is for [AMOUNT_3]
01:53	External	Unavailable	Perfect.
01:53	Internal	[AGENT_7]	… there's two
01:55	Internal	[AGENT_7]	two options in terms of what you want to do we can we can do a cash settlement
02:00	Internal	[AGENT_7]	… which would be based that that amount [AMOUNT_3] lesser excess of [AMOUNT_4] and, or we can give uh, the bill that was able to go ahead to Google repairs. And you … just paid them to [AMOUNT_4] … access directly. And we'd paid the balance to them, then.
02:22	External	Unavailable	I just take the cash that.
02:26	Internal	[AGENT_7]	Fine, that's fine. I just … to get you the exact number …
02:31	Internal	[AGENT_7]	my
02:33	External	Unavailable	Thats …
02:35	Internal	[AGENT_7]	So it's [AMOUNT_5] that's payable the access taken away. Okay, now it gives 10 days. 10 days. Consider the offer. If you wanna wait until 10 days, I can. I can release the payments out now.
02:42	External	Unavailable	…
02:50	External	Unavailable	yeah, yeah, 10 days.
02:52	Internal	[AGENT_7]	Okay, and have you got your I for the crude … the bank transfer?
03:00	External	Unavailable	… yeah, I can just get up. You can get that on online banking.
03:04	Internal	[AGENT_7]	Yeah, you should be able to get it there.
03:18	External	Unavailable	Yeah,
03:20	External	Unavailable	date.
03:20	Internal	[AGENT_7]	When you're ready,
03:21	Internal	[AGENT_7]	…
03:22	External	Unavailable	[IBAN_1_PART1]
03:25	External	Unavailable	[IBAN_1_PART2].
03:27	Internal	[AGENT_7]	Yeah.
03:30	External	Unavailable	[IBAN_1_PART3].
03:34	Internal	[AGENT_7]	Yeah.
03:36	External	Unavailable	[IBAN_1_PART4].
03:39	Internal	[AGENT_7]	Yeah.
03:44	External	Unavailable	[IBAN_1_PART5].
03:47	Internal	[AGENT_7]	Yeah.
03:49	External	Unavailable	[IBAN_1_PART6].
03:52	Internal	[AGENT_7]	Yeah.
03:53	External	Unavailable	[IBAN_1_PART7].
03:56	Internal	[AGENT_7]	[IBAN_1_PART7]. I'm gonna call back just to make sure I have it right.
04:00	Internal	[AGENT_7]	So I have [IBAN_1_PART1].
04:04	External	Unavailable	Yeah.
04:04	Internal	[AGENT_7]	[IBAN_1_PART3]
04:06	Internal	[AGENT_7]	[IBAN_1_PART4].
04:06	External	Unavailable	Yeah.
04:09	Internal	[AGENT_7]	[IBAN_1_PART5]
04:11	Internal	[AGENT_7]	[IBAN_1_PART6_FULL].
04:16	External	Unavailable	One second. Sorry. So it's [IBAN_1_PART6_FULL]. Yeah.
04:20	Internal	[AGENT_7]	Yeah, yeah,
04:23	Internal	[AGENT_7]	I'll hmm, I'll request that for you now to be in the account in the next day or two.
04:28	External	Unavailable	Yeah, so what was the full the figure?
04:32	Internal	[AGENT_7]	[AMOUNT_5]
04:37	External	Unavailable	Yeah, perfect.
04:39	Internal	[AGENT_7]	Alright.
04:40	External	Unavailable	Appreciate that thanks a bi appreciate cheers thank you. Cheers.
04:42	Internal	[AGENT_7]	Another time
