Interaction Type:	Call
Interaction ID:	[INTERACTION_ID_1]
Transcript Start Time:	[DATE_1] [TIME_1] (UTC+01:00)
Transcript End Time:	[DATE_1] [TIME_2] (UTC+01:00)
Transcript Duration:	06:04
Direction:	Inbound / Outbound
Internal Participant(s):	[AGENT_1]
External Participant(s):	Mobile Number, [COUNTRY_1]

Date/Time	Participant Type	Participant	Text
00:02	External	Mobile Number, [COUNTRY_1]	Hello.
00:04	Internal	[AGENT_1]	Hi, this is [AGENT_1] giving a call from [COMPANY_1].
00:08	External	Mobile Number, [COUNTRY_1]	Hi, how are you?
00:09	Internal	[AGENT_1]	Just a quick call, The servers and interest or questions online code.
00:14	External	Mobile Number, [COUNTRY_1]	I tried to
00:16	External	Mobile Number, [COUNTRY_1]	follow through with the quote
00:18	External	Mobile Number, [COUNTRY_1]	yesterday and something wouldn't work on the payment side of things, And then I went to pay again, and it said that I'd already paid for this
00:27	External	Mobile Number, [COUNTRY_1]	thing, but then I never got any emails or anything, so you wouldn't mind checking that for me. It didn't come out of my account, but it wouldn't let me go through again, so
00:34	External	Mobile Number, [COUNTRY_1]	I don't know what happened.
00:36	Internal	[AGENT_1]	… … I have a look here for you
00:44	Internal	[AGENT_1]	to just verify for data protection? You just confirm your name, address, and date of birth for us, please.
00:48	External	Mobile Number, [COUNTRY_1]	Yeah, that's [CUSTOMER_1] [DATE_2] [ADDRESS_1]. Or it could be [ADDRESS_2].
00:57	Internal	[AGENT_1]	Yeah, it's … at [ADDRESS_2].
00:59	External	Mobile Number, [COUNTRY_1]	Yeah, that's my rental property, so
01:06	Internal	[AGENT_1]	Grand. Looks like it's all still here. I don't think it. There is no payment taken anyway. Em, it's still sitting as … as the quote, it's up to yourself. If you're happy enough to go ahead with that, we can run through and get it set up for you. Take us under five months.
01:21	External	Mobile Number, [COUNTRY_1]	Yeah, I like. So think it was just maybe, yes. Say, I tried to put it through and then it just wouldn't let me do it again, so I might just do it on my laptop. Then when I get home.
01:29	Internal	[AGENT_1]	No worries, it's all. It's up to yourself. We have all that, the information.
01:31	External	Mobile Number, [COUNTRY_1]	Yeah, I just want to have my card with me right now, so.
01:35	Internal	[AGENT_1]	Grand, it's, it's grand. I can still. Are you looking to do it as a payment in full or monthly?
01:39	External	Mobile Number, [COUNTRY_1]	In full.
01:41	Internal	[AGENT_1]	… the I can fill, run through it and set it up and then send you a payment, like if you like.
01:45	External	Mobile Number, [COUNTRY_1]	Yeah, yeah, let's do that.
01:47	Internal	[AGENT_1]	No worries when as a Gen need the insurance they … start fortunate
